x,train[y1]->ideal[y42],train[y2]->ideal[y41],train[y3]->ideal[y11],train[y4]->ideal[y48]
-20.0,40.20404,-40.456474,-20.0,-0.18627828
-19.9,40.04859,-40.23382,-19.9,-0.21569017
-19.8,39.89066,-40.006836,-19.8,-0.23650314
-19.7,39.729824,-39.775787,-19.7,-0.24788749
-19.6,39.565693,-39.54098,-19.6,-0.24938935
-19.5,39.397907,-39.30277,-19.5,-0.24094884
-19.4,39.226147,-39.06153,-19.4,-0.22290246
-19.3,39.050125,-38.817684,-19.3,-0.19596967
-19.2,38.86961,-38.57166,-19.2,-0.16122419
-19.1,38.684402,-38.323917,-19.1,-0.1200512
-19.0,38.49435,-38.07494,-19.0,-0.07409214
-18.9,38.299362,-37.82521,-18.9,-0.025179274
-18.8,38.099384,-37.575233,-18.8,0.024737414
-18.7,37.894417,-37.3255,-18.7,0.0736679
-18.6,37.68451,-37.07651,-18.6,0.11966148
-18.5,37.46976,-36.82876,-18.5,0.16088453
-18.4,37.25032,-36.582718,-18.4,0.19569363
-18.3,37.02638,-36.338844,-18.3,0.22270104
-18.2,36.798176,-36.097584,-18.2,0.24083005
-18.1,36.565994,-35.859344,-18.1,0.24935794
-18.0,36.33016,-35.624508,-18.0,0.24794471
-17.9,36.091022,-35.39342,-17.9,0.23664671
-17.8,35.84898,-35.166397,-17.8,0.21591435
-17.7,35.604446,-34.94371,-17.7,0.18657418
-17.6,35.357872,-34.72558,-17.6,0.14979586
-17.5,35.10972,-34.512188,-17.5,0.107045665
-17.4,34.860474,-34.30367,-17.4,0.0600279
-17.3,34.61062,-34.100113,-17.3,0.010617008
-17.2,34.36066,-33.90155,-17.2,-0.039217148
-17.1,34.111095,-33.707966,-17.1,-0.08748784
-17.0,33.86242,-33.519302,-17.0,-0.13227068
-16.9,33.615116,-33.335438,-16.9,-0.17178029
-16.8,33.36966,-33.156216,-16.8,-0.20444156
-16.7,33.126507,-32.98143,-16.7,-0.22895241
-16.6,32.886086,-32.810825,-16.6,-0.24433562
-16.5,32.6488,-32.644108,-16.5,-0.24997796
-16.4,32.415028,-32.480946,-16.4,-0.24565446
-16.3,32.185097,-32.320972,-16.3,-0.2315375
-16.2,31.959314,-32.163788,-16.2,-0.20818987
-16.1,31.737934,-32.008965,-16.1,-0.17654237
-16.0,31.52117,-31.856049,-16.0,-0.13785668
-15.9,31.30919,-31.70457,-15.9,-0.09367507
-15.8,31.102116,-31.554047,-15.8,-0.045758933
-15.7,30.900017,-31.403982,-15.7,0.0039814655
