x,y1,y2,y3,y4,y42,y41,y11,y48
-20.0,39.778572,-40.07859,-20.214268,-0.32491425,40.20404,-40.456474,-20.0,-0.18627828
-19.9,39.604813,-39.784,-20.07095,-0.058819864,40.04859,-40.23382,-19.9,-0.21569017
-19.8,40.09907,-40.018845,-19.906782,-0.4518296,39.89066,-40.006836,-19.8,-0.23650314
-19.7,40.1511,-39.518402,-19.389118,-0.6120442,39.729824,-39.775787,-19.7,-0.24788749
-19.6,39.795662,-39.360065,-19.81589,-0.3060756,39.565693,-39.54098,-19.6,-0.24938935
-19.5,39.340855,-38.90581,-19.287113,-0.062154666,39.397907,-39.30277,-19.5,-0.24094884
-19.4,39.25246,-39.12036,-19.683708,0.026392838,39.226147,-39.06153,-19.4,-0.22290246
-19.3,38.590164,-38.62107,-19.494537,-0.2690418,39.050125,-38.817684,-19.3,-0.19596967
-19.2,38.893463,-38.806778,-19.533716,0.08567329,38.86961,-38.57166,-19.2,-0.16122419
-19.1,38.364567,-38.354656,-18.75372,-0.29954198,38.684402,-38.323917,-19.1,-0.1200512
-19.0,38.13553,-37.795067,-19.363068,-0.553223,38.49435,-38.07494,-19.0,-0.07409214
-18.9,37.825813,-37.984848,-18.528309,0.040018722,38.299362,-37.82521,-18.9,-0.025179274
-18.8,37.672874,-37.855568,-18.92033,0.0705662,38.099384,-37.575233,-18.8,0.024737414
-18.7,37.99707,-37.64723,-18.858202,0.09534555,37.894417,-37.3255,-18.7,0.0736679
-18.6,37.38134,-37.436577,-18.457552,-0.3021374,37.68451,-37.07651,-18.6,0.11966148
-18.5,37.429653,-37.083054,-18.551897,-0.0018355072,37.46976,-36.82876,-18.5,0.16088453
-18.4,37.330147,-36.65041,-18.406178,0.34796613,37.25032,-36.582718,-18.4,0.19569363
-18.3,36.635334,-36.5591,-18.573486,0.08883932,37.02638,-36.338844,-18.3,0.22270104
-18.2,36.31057,-35.691395,-18.298632,-0.15387341,36.798176,-36.097584,-18.2,0.24083005
-18.1,36.379223,-35.42202,-17.694733,0.6145841,36.565994,-35.859344,-18.1,0.24935794
-18.0,36.74498,-35.771496,-18.15217,0.38540468,36.33016,-35.624508,-18.0,0.24794471
-17.9,35.609684,-35.880722,-18.224195,-0.20963566,36.091022,-35.39342,-17.9,0.23664671
-17.8,35.421272,-35.432663,-17.929127,-0.08499361,35.84898,-35.166397,-17.8,0.21591435
-17.7,35.902496,-35.311367,-17.453093,0.20769778,35.604446,-34.94371,-17.7,0.18657418
-17.6,35.009613,-35.05815,-18.051992,-0.14993647,35.357872,-34.72558,-17.6,0.14979586
-17.5,35.37503,-34.652325,-17.750078,-0.11715304,35.10972,-34.512188,-17.5,0.107045665
-17.4,34.673225,-34.403038,-17.254086,0.2630343,34.860474,-34.30367,-17.4,0.0600279
-17.3,34.73963,-34.438858,-17.680382,-0.3331845,34.61062,-34.100113,-17.3,0.010617008
-17.2,34.099274,-33.4363,-17.28941,-0.14619163,34.36066,-33.90155,-17.2,-0.039217148
